u,v
KANPURCENTRA,GOVINDPURI22
GOVINDPURI22,PANKIDHAM53K
PANKIDHAM53K,BHAUPUR95KMH
BHAUPUR95KMH,MAITHA72KMHR
MAITHA72KMHR,ROSHANMAU
ROSHANMAU,PATRA
PATRA,RURA1KMHR
RURA1KMHR,AMBIAPUR175K
AMBIAPUR175K,JHINJHAK138K
JHINJHAK138K,PARAJANIHALT
PARAJANIHALT,KANCHAUSI3KM
KANCHAUSI3KM,PHAPHUND95KM
PHAPHUND95KM,PATA85KMHR
PATA85KMHR,ACHALDA95KMH
ACHALDA95KMH,GHASARAHALT
GHASARAHALT,SAMHON
SAMHON,BHARTHANA120
BHARTHANA120,EKDIL106KMHR
EKDIL106KMHR,ETAWAH72KMHR
ETAWAH72KMHR,ADSBYGOOGLEW
NSCBOSEJGOMO,TELO51KMHR
TELO51KMHR,CHANDRAPURA4
CHANDRAPURA4,BHANDARIDAH2
BHANDARIDAH2,PHUSRO51KMHR
PHUSRO51KMHR,AMLO35KMHR
AMLO35KMHR,BERMO70KMHR
BERMO70KMHR,JARANGDIH
JARANGDIH,BOKAROTHERMA
BOKAROTHERMA,GUMIA70KMHR
GUMIA70KMHR,DUMRIBIHARE7
DUMRIBIHARE7,DANEA74KMHR
DANEA74KMHR,JOGESHWARBIH
JOGESHWARBIH,CHAINPUR52KM
CHAINPUR52KM,KARMAHAT66KM
KARMAHAT66KM,DIGWARHALT
DIGWARHALT,RANCHIROAD1K
RANCHIROAD1K,ARIGADA45KMH
ARIGADA45KMH,BARKAKANA35K
BARKAKANA35K,BHURKUNDA70K
BHURKUNDA70K,PATRATU84KMH
PATRATU84KMH,TOKISUD59KMH
TOKISUD59KMH,HENDEGIR59KM
HENDEGIR59KM,KOLE55KMHR
KOLE55KMHR,RAY83KMHR
RAY83KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,KHALARI
KHALARI,MCCLUSKIEGAN
MCCLUSKIEGAN,NINDRA
NINDRA,MAHUAMILAN
MAHUAMILAN,TORI
TORI,CHETAR
CHETAR,RICHUGHUTU
RICHUGHUTU,DEMU
DEMU,LATEHAR
LATEHAR,BENDI
BENDI,KUMENDI
KUMENDI,HEHEGARAHALT
HEHEGARAHALT,CHHIPADOHAR
CHHIPADOHAR,BARWADIH
BARWADIH,MANGRA
MANGRA,KECKHI
KECKHI,CHIANKI
CHIANKI,DALTONGANJ
DALTONGANJ,KAJRI
KAJRI,RAJHURA
RAJHURA,LALGARHBIHAR
LALGARHBIHAR,TOLRA
TOLRA,GARWAROAD
GARWAROAD,GARHWA
GARHWA,MERALGRAM
MERALGRAM,RAMNA
RAMNA,NAGARUNTARI
NAGARUNTARI,WYNDHAMGANJ
WYNDHAMGANJ,MAHUARIYA
MAHUARIYA,DUDDHINAGAR
DUDDHINAGAR,JHAROKHAS
JHAROKHAS,MUIRPURROAD
MUIRPURROAD,RENUKUT
RENUKUT,JOGIDIH
JOGIDIH,GURMURA
GURMURA,SALAIBANWA
SALAIBANWA,BILLI
BILLI,CHOPAN
GOMTINAGAR,BADSHAHNAGAR
BADSHAHNAGAR,DALIGANJ51KM
DALIGANJ51KM,MOHIBULLAPUR
MOHIBULLAPUR,BAKSHIKATALA
BAKSHIKATALA,ITAUNJA
ITAUNJA,ATARIA26KMHR
ATARIA26KMHR,MANWA
MANWA,SIDHAULI19KM
SIDHAULI19KM,SURAINCHAHAL
SURAINCHAHAL,KAMLAPUR8KMH
KAMLAPUR8KMH,BARAIJALALPU
BARAIJALALPU,KHAIRATABAD3
KHAIRATABAD3,SITAPUR50KMH
SITAPUR50KMH,BHURJIHABARA
BHURJIHABARA,JHAREKAPUR
JHAREKAPUR,PARSEHRAMAL
PARSEHRAMAL,HARGAON45KMH
HARGAON45KMH,OEL
OEL,KADIPURSANIH
KADIPURSANIH,KHIRITOWN
KHIRITOWN,LAKHIMPUR4KM
LAKHIMPUR4KM,DEOKALI
DEOKALI,PHARADAHAN6K
PHARADAHAN6K,RAZAGANJ
RAZAGANJ,BAHELIABUZUR
BAHELIABUZUR,GOLAGOKARANA
GOLAGOKARANA,BANKEGANJ86K
BANKEGANJ86K,MAILANI89KMH
MAILANI89KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,AKELAHANSPUR
AKELAHANSPUR,SEHRAMAU
SEHRAMAU,KURRAIYA
KURRAIYA,DUDHIYAKHURD
DUDHIYAKHURD,UDAIYAPURKHU
UDAIYAPURKHU,PURANPUR
PURANPUR,PRASADPUR
PRASADPUR,SHAHGARH
SHAHGARH,SANDAI
SANDAI,MALA
MALA,DIYURI
DIYURI,PILIBHIT
VARANASI,BABATPUR65KM
BABATPUR65KM,JAUNPUR76KMH
JAUNPUR76KMH,SHAHGANJ105K
SHAHGANJ105K,AKBARPUR117K
AKBARPUR117K,GOSHAINGANJ1
GOSHAINGANJ1,AYODHYADHAM7
AYODHYADHAM7,RUDAULI87KMH
RUDAULI87KMH,DARYABAD110K
DARYABAD110K,BARABANKI114
BARABANKI114,MALHOUR
MALHOUR,ADSBYGOOGLEW
ADSBYGOOGLEW,LUCKNOW
CSHIVAJIMAHT,DADAR36KMHR
DADAR36KMHR,THANE3KMHR
THANE3KMHR,KALYAN69KMHR
KALYAN69KMHR,KASARA98KMHR
KASARA98KMHR,DEVLALI87KMH
DEVLALI87KMH,NASIKROAD81K
NASIKROAD81K,MANMAD128KMH
MANMAD128KMH,CHALISGAON12
CHALISGAON12,PACHORA117KM
PACHORA117KM,JALGAON99KMH
JALGAON99KMH,BHUSAVAL91KM
BHUSAVAL91KM,SAVDA45KMHR
SAVDA45KMHR,RAVER115KMHR
RAVER115KMHR,BURHANPUR112
BURHANPUR112,NEPANAGAR132
NEPANAGAR132,KHANDWAJUNCT
KHANDWAJUNCT,TALVADYA102K
TALVADYA102K,CHHANERA153K
CHHANERA153K,KHIRKIYA106K
KHIRKIYA106K,HARDA125KMHR
HARDA125KMHR,TIMARNI102KM
TIMARNI102KM,BANAPURA117K
BANAPURA117K,ITARSI408KMH
ITARSI408KMH,NARMADAPURAM
NARMADAPURAM,BUDNI73KMHR
BUDNI73KMHR,OBAIDULLAGAN
OBAIDULLAGAN,MANDIDIP103K
MANDIDIP103K,RANIKAMALAPA
RANIKAMALAPA,BHOPAL38KMHR
BHOPAL38KMHR,VIDISHA97KMH
VIDISHA97KMH,GULABHGANJ11
GULABHGANJ11,GANJBASODA90
GANJBASODA90,MANDIBAMORA1
MANDIBAMORA1,BINA95KMHR
BINA95KMHR,DHAURA112KMH
DHAURA112KMH,LALITPUR122K
LALITPUR122K,TALBAHAT103K
TALBAHAT103K,BASAI32KMHR
BASAI32KMHR,BABINA95KMHR
BABINA95KMHR,VIRANGANALAK
VIRANGANALAK,DATIA114KMHR
DATIA114KMHR,DABRA89KMHR
DABRA89KMHR,GWALIOR128KM
GWALIOR128KM,MORENA101KMH
MORENA101KMH,DHAULPUR107K
DHAULPUR107K,AGRACANTT144
AGRACANTT144,MATHURA108KM
MATHURA108KM,KOSIKALAN100
KOSIKALAN100,PALWAL151KMH
PALWAL151KMH,FARIDABAD83K
FARIDABAD83K,HAZRATNIZAMU
HAZRATNIZAMU,NEWDELHI42KM
NEWDELHI42KM,SUBZIMANDI20
SUBZIMANDI20,NARELA116KMH
NARELA116KMH,SONIPAT116KM
SONIPAT116KM,GANAUR128KMH
GANAUR128KMH,BHODWALMAJRI
BHODWALMAJRI,SAMALKHA83KM
SAMALKHA83KM,PANIPAT126KM
PANIPAT126KM,KARNAL143KMH
KARNAL143KMH,NILOKHERI118
NILOKHERI118,KURUKSHETRA9
KURUKSHETRA9,SHAHBADMARKN
SHAHBADMARKN,AMBALACANT58
AMBALACANT58,AMBALACITY52
AMBALACITY52,RAJPURA82KMH
RAJPURA82KMH,PATIALA40KMH
PATIALA40KMH,NABHA114KMHR
NABHA114KMHR,DHURI103KMHR
DHURI103KMHR,MALERKOTLA89
MALERKOTLA89,AHMADGARH101
AHMADGARH101,GILL
GILL,ADSBYGOOGLEW
ADSBYGOOGLEW,LUDHIANA
LUDHIANA,PHILLAUR
PHILLAUR,GORAYA
GORAYA,PHAGWARA
PHAGWARA,JALANDHARCAN
JALANDHARCAN,JALANDHARCIT
JALANDHARCIT,BEAS
BEAS,JANDIALA
JANDIALA,AMRITSAR
BARWADIH,MANGRA50KMHR
MANGRA50KMHR,KECKHI81KMHR
KECKHI81KMHR,CHIANKI84KMH
CHIANKI84KMH,DALTONGANJ83
DALTONGANJ83,KAJRI87KMHR
KAJRI87KMHR,RAJHURA49KMH
RAJHURA49KMH,LALGARHBIHAR
LALGARHBIHAR,TOLRA14KMHR
TOLRA14KMHR,GARWAROAD70K
GARWAROAD70K,SIGSIGI26KMH
SIGSIGI26KMH,KARKATA66KMH
KARKATA66KMH,UNTAREROAD62
UNTAREROAD62,SATBAHINI58K
SATBAHINI58K,MUHAMMADGANJ
MUHAMMADGANJ,KOSIARA58KMH
KOSIARA58KMH,HAIDARNAGAR9
HAIDARNAGAR9,JAPLA128KMHR
JAPLA128KMHR,KAJRATNAWADI
KAJRATNAWADI,NABINAGARROA
NABINAGARROA,BARKISALALYA
BARKISALALYA,ANKORAHAKORH
ANKORAHAKORH,BAGAHABISHUN
BAGAHABISHUN,SONNAGAR75KM
SONNAGAR75KM,DEHRIONSONE5
DEHRIONSONE5,ADSBYGOOGLEW
GONDA,GONDAKACHAHR
GONDAKACHAHR,MAIJAPUR95KM
MAIJAPUR95KM,COLONELGANJ5
COLONELGANJ5,SARJU68KMHR
SARJU68KMHR,JARWALROAD95
JARWALROAD95,GHAGHARAGHAT
GHAGHARAGHAT,CHOWKAGHAT58
CHOWKAGHAT58,BURHWAL55KMH
BURHWAL55KMH,SUNDHIAMAU87
SUNDHIAMAU87,TAHSILFATEHP
TAHSILFATEHP,PAINTEPUR85K
PAINTEPUR85K,MUNDAGOPALAS
MUNDAGOPALAS,MAHMUDABADAV
MAHMUDABADAV,BABUPUR
BABUPUR,SARAYAN1KMHR
SARAYAN1KMHR,SHANKARPUR
SHANKARPUR,BISWAN
BISWAN,RAMAIPUR106K
RAMAIPUR106K,PARSENDI95KM
PARSENDI95KM,TAPPAKHAJURI
TAPPAKHAJURI,SITAPUR54KMH
SITAPUR54KMH,ADSBYGOOGLEW
GORAKHPUR,KAPTANGANJ10
KAPTANGANJ10,BAGAHA100KMH
BAGAHA100KMH,NARKATIAGANJ
NARKATIAGANJ,BETTIAH104KM
BETTIAH104KM,SAGAULI95KMH
SAGAULI95KMH,BAPUDMMOTIHA
BAPUDMMOTIHA,MUZAFFARPUR1
MUZAFFARPUR1,HAJIPUR99KMH
HAJIPUR99KMH,PATLIPUTRA62
PATLIPUTRA62,ADSBYGOOGLEW
BHUJ,ANJAR126KMHR
ANJAR126KMHR,GANDHIDHAMBG
GANDHIDHAMBG,BHACHAUBG98K
BHACHAUBG98K,SAMAKHIALIBG
SAMAKHIALIBG,HALVAD144KMH
HALVAD144KMH,DHRANGADHRA1
DHRANGADHRA1,VIRAMGAM135K
VIRAMGAM135K,SANAND118KMH
SANAND118KMH,AMBLIROAD166
AMBLIROAD166,CHANDLODIYA9
CHANDLODIYA9,SABARMATI95K
SABARMATI95K,AHMEDABAD25K
AHMEDABAD25K,ADSBYGOOGLEW
ITARSI,GURRA80KMHR
GURRA80KMHR,SONTALAI84KM
SONTALAI84KM,BAGRATAWA68K
BAGRATAWA68K,GURAMKHEDI12
GURAMKHEDI12,SOHAGPUR95KM
SOHAGPUR95KM,PIPARIYA108K
PIPARIYA108K,BANKHEDI131K
BANKHEDI131K,JUNEHTA
JUNEHTA,SALICHAUKARO
SALICHAUKARO,GADARWARA103
GADARWARA103,BOHANI95KMHR
BOHANI95KMHR,KARELI78KMHR
KARELI78KMHR,NARSINGHPUR8
NARSINGHPUR8,GHATPINDRAI9
GHATPINDRAI9,BELKHERA78KM
BELKHERA78KM,KARAKBEL95KM
KARAKBEL95KM,SRIDHAM120KM
SRIDHAM120KM,BIKRAMPUR128
BIKRAMPUR128,BHITONI95KMH
BHITONI95KMH,BHERAGHAT122
BHERAGHAT122,MADANMAHAL10
MADANMAHAL10,JABALPUR38KM
JABALPUR38KM,ADHARTAL45KM
ADHARTAL45KM,DEORI85KMHR
DEORI85KMHR,GOSALPUR138K
GOSALPUR138K,SIHORAROAD10
SIHORAROAD10,DUNDI102KMHR
DUNDI102KMHR,SLEEMANABADR
SLEEMANABADR,SANSARPUR
SANSARPUR,NIWAR9KMHR
NIWAR9KMHR,MADHAVNAGARR
MADHAVNAGARR,KATNI8KMHR
KATNI8KMHR,ADSBYGOOGLEW
MUZAFFARPUR,HAJIPUR1KMHR
HAJIPUR1KMHR,SONPUR40KMHR
SONPUR40KMHR,PATLIPUTRA51
PATLIPUTRA51,DANAPUR41KMH
DANAPUR41KMH,ARA
ARA,BUXAR
BUXAR,PTDEENDAYALU
PTDEENDAYALU,PRAYAGRAJCHH
PRAYAGRAJCHH,MANIKPUR71KM
MANIKPUR71KM,SATNA106KMHR
SATNA106KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,MAIHAR
MAIHAR,KATNI
KATNI,JABALPUR
JABALPUR,NARSINGHPUR
NARSINGHPUR,PIPARIYA
PIPARIYA,ITARSI
ITARSI,KHANDWAJUNCT
KHANDWAJUNCT,BHUSAVAL
BHUSAVAL,MANMAD
MANMAD,KOPARGAON
KOPARGAON,BELAPUR
BELAPUR,AHILYANAGAR
AHILYANAGAR,DAUNDCHORDLI
DAUNDCHORDLI,HADAPSAR
PALANPUR,DISA99KMHR
DISA99KMHR,BHILDI101KMH
BHILDI101KMH,JENAL63KMHR
JENAL63KMHR,RAMSAN95KMHR
RAMSAN95KMHR,DHANERA95KMH
DHANERA95KMH,JARI95KMHR
JARI95KMHR,DUGDOL
DUGDOL,MARWARRATANP
MARWARRATANP,RANIWARA95KM
RANIWARA95KM,MALWARA84KMH
MALWARA84KMH,MARWARKORI11
MARWARKORI11,MARWARBHINMA
MARWARBHINMA,LEDARMER95KM
LEDARMER95KM,BHEEMPURA70K
BHEEMPURA70K,MODRAN95KMHR
MODRAN95KMHR,BAKRAROAD70K
BAKRAROAD70K,MARWARBAGRA8
MARWARBAGRA8,JAGNATHJIROA
JAGNATHJIROA,JALOR105KMHR
JALOR105KMHR,BISHENGARH81
BISHENGARH81,BALWARA115KM
BALWARA115KM,MOKALSAR120K
MOKALSAR120K,RAKHI83KMHR
RAKHI83KMHR,BAMSIN85KMHR
BAMSIN85KMHR,SAMDHARI11KM
SAMDHARI11KM,AJIT95KMHR
AJIT95KMHR,MAHESHNAGARH
MAHESHNAGARH,DUNDARA23KMH
DUNDARA23KMH,DUDIA70KMHR
DUDIA70KMHR,SUTLANA115KM
SUTLANA115KM,LUNI109KMHR
LUNI109KMHR,HANWANT70KMH
HANWANT70KMH,SALAWAS108KM
SALAWAS108KM,ADSBYGOOGLEW
ADSBYGOOGLEW,BASNI
BASNI,BHAGATKIKOTH
BARAUNI,DALSINGHSARA
DALSINGHSARA,SAMASTIPUR63
SAMASTIPUR63,MUZAFFARPUR9
MUZAFFARPUR9,HAJIPUR99KMH
HAJIPUR99KMH,SONPUR23KMHR
SONPUR23KMHR,CHHAPRA60KMH
CHHAPRA60KMH,SURAIMANPUR6
SURAIMANPUR6,BALLIA90KMHR
BALLIA90KMHR,YUSUFPUR123K
YUSUFPUR123K,GHAZIPURCITY
GHAZIPURCITY,AUNRIHAR75KM
AUNRIHAR75KM,KIRAKAT106KM
KIRAKAT106KM,JAUNPUR46KMH
JAUNPUR46KMH,VARANASI75KM
VARANASI75KM,MIRZAPUR82KM
MIRZAPUR82KM,VINDHYACHAL4
VINDHYACHAL4,PRAYAGRAJCHH
PRAYAGRAJCHH,SHANKARGARH7
SHANKARGARH7,MANIKPUR119K
MANIKPUR119K,SATNA102KMHR
SATNA102KMHR,MAIHAR125KMH
MAIHAR125KMH,KATNI66KMHR
KATNI66KMHR,UMARIA55KMHR
UMARIA55KMHR,SHAHDOL111KM
SHAHDOL111KM,BURHAR120KMH
BURHAR120KMH,ANUPPUR73KMH
ANUPPUR73KMH,PENDRAROAD91
PENDRAROAD91,SALKAROAD
SALKAROAD,ADSBYGOOGLEW
ADSBYGOOGLEW,USLAPUR
USLAPUR,BHATAPARA
BHATAPARA,RAIPUR
RAIPUR,DURG
DURG,RAJNANDGAON
RAJNANDGAON,DONGARGARH
DONGARGARH,SALEKASA
SALEKASA,AMGAON
AMGAON,GONDIA
RAY83KMHR,KHALARI73KMH
KHALARI73KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,MCCLUSKIEGAN
MAILANI89KMH,AKELAHANSPUR
AKELAHANSPUR,SEHRAMAU31KM
SEHRAMAU31KM,ADSBYGOOGLEW
ADSBYGOOGLEW,KURRAIYA
SATNA106KMHR,UNCHHERA
UNCHHERA,ADSBYGOOGLEW
SALAWAS108KM,BASNI86KMHR
BASNI86KMHR,BHAGATKIKOTH
BHAGATKIKOTH,ADSBYGOOGLEW
PENDRAROAD91,USLAPUR77KMH
USLAPUR77KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,BHATAPARA
SEHRAMAU31KM,KURRAIYA
DUDHIYAKHURD,ADSBYGOOGLEW
ADSBYGOOGLEW,UDAIYAPURKHU
BARABANKI114,DILKUSHACABI
DILKUSHACABI,ADSBYGOOGLEW
SATNA106KMHR,MAIHAR104KMH
MAIHAR104KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,KATNI
USLAPUR77KMH,DADHAPARA
DADHAPARA,ADSBYGOOGLEW
SAHARSA,MANSI28KMHR
MANSI28KMHR,KHAGARIA48KM
KHAGARIA48KM,BEGUSARAI46K
BEGUSARAI46K,BARAUNI42KMH
BARAUNI42KMH,DALSINGHSARA
DALSINGHSARA,NARAYANPURAN
NARAYANPURAN,ADSBYGOOGLEW
ADSBYGOOGLEW,SAMASTIPUR13
SAMASTIPUR13,MUZAFFARPUR
MUZAFFARPUR,HAJIPUR
HAJIPUR,SONPUR
SONPUR,CHHAPRA
CHHAPRA,SIWAN
SIWAN,DEORIASADAR
DEORIASADAR,GORAKHPUR
GORAKHPUR,KHALILABAD
KHALILABAD,BASTI
BASTI,GONDA
GONDA,BARABANKI
BARABANKI,BADSHAHNAGAR
BADSHAHNAGAR,AISHBAGH
AISHBAGH,KANPURCENTRA
KANPURCENTRA,ETAWAH
ETAWAH,TUNDLA
TUNDLA,ALIGARH
ALIGARH,GHAZIABAD
GHAZIABAD,ANANDVIHARTE
BADNERA,MURTAJAPUR10
MURTAJAPUR10,BORGAON122KM
BORGAON122KM,AKOLA122KMHR
AKOLA122KMHR,SHEGAON59KMH
SHEGAON59KMH,NANDURA114KM
NANDURA114KM,MALKAPUR85KM
MALKAPUR85KM,BODWAD113KMH
BODWAD113KMH,BHUSAVAL30KM
BHUSAVAL30KM,JALGAON78KMH
JALGAON78KMH,PACHORA125KM
PACHORA125KM,KAJGAON132KM
KAJGAON132KM,CHALISGAON12
CHALISGAON12,NANDGAON76KM
NANDGAON76KM,PANEVADI
PANEVADI,ADSBYGOOGLEW
ADSBYGOOGLEW,MANMAD
MANMAD,LASALGAON
LASALGAON,NIPHAD
NIPHAD,NASIKROAD
JODHPUR,MERTAROAD115
MERTAROAD115,DEGANA102KMH
DEGANA102KMH,CHHOTIKHATU
CHHOTIKHATU,DIDWANA58KMH
DIDWANA58KMH,LADNUN136KMH
LADNUN136KMH,SUJANGARH120
SUJANGARH120,RATANGARH95K
RATANGARH95K,CHURU108KMHR
CHURU108KMHR,SADULPUR100K
SADULPUR100K,LOHARU1KMHR
LOHARU1KMHR,MAHENDRAGARH
MAHENDRAGARH,REWARI71KMHR
REWARI71KMHR,GURGAON31KMH
GURGAON31KMH,DELHICANTT10
DELHICANTT10,DELHI7KMHR
DELHI7KMHR,GHAZIABAD38K
GHAZIABAD38K,HAPUR64KMHR
HAPUR64KMHR,MORADABAD34K
MORADABAD34K,BAREILLYNR
BAREILLYNR,SHAHJEHANPUR
SHAHJEHANPUR,KAURAH
KAURAH,ADSBYGOOGLEW
ADSBYGOOGLEW,HARDOI
HARDOI,LUCKNOW
LUCKNOW,AYODHYACANTT
